Height_cm,Weight_kg,BMI,Category,Health_Percentage,Exercises
166,69,25.04,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
197,72,18.55,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
196,56,14.58,Underweight,60,"Weight gain exercises (e.g., strength training)"
149,101,45.49,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
189,43,12.04,Underweight,60,"Weight gain exercises (e.g., strength training)"
175,75,24.49,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
165,94,34.53,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
182,94,28.38,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
146,69,32.37,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
183,91,27.17,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
170,41,14.19,Underweight,60,"Weight gain exercises (e.g., strength training)"
194,65,17.27,Underweight,60,"Weight gain exercises (e.g., strength training)"
152,70,30.3,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
184,71,20.97,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
147,99,45.81,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
181,84,25.64,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
157,40,16.23,Underweight,60,"Weight gain exercises (e.g., strength training)"
177,115,36.71,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
174,68,22.46,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
163,56,21.08,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
157,53,21.5,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
171,51,17.44,Underweight,60,"Weight gain exercises (e.g., strength training)"
165,62,22.77,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
164,74,27.51,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
190,63,17.45,Underweight,60,"Weight gain exercises (e.g., strength training)"
199,96,24.24,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
200,114,28.5,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
199,90,22.73,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
149,107,48.2,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
197,91,23.45,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
157,84,34.08,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
163,73,27.48,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
163,86,32.37,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
158,52,20.83,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
199,55,13.89,Underweight,60,"Weight gain exercises (e.g., strength training)"
196,100,26.03,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
158,61,24.44,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
195,82,21.56,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
171,76,25.99,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
177,105,33.52,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
178,67,21.15,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
158,73,29.24,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
197,118,30.41,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
193,62,16.64,Underweight,60,"Weight gain exercises (e.g., strength training)"
148,85,38.81,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
153,110,46.99,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
186,65,18.79,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
141,48,24.14,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
180,71,21.91,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
193,105,28.19,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
173,45,15.04,Underweight,60,"Weight gain exercises (e.g., strength training)"
172,50,16.9,Underweight,60,"Weight gain exercises (e.g., strength training)"
200,50,12.5,Underweight,60,"Weight gain exercises (e.g., strength training)"
174,93,30.72,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
177,69,22.02,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
188,107,30.27,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
146,114,53.48,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
178,112,35.35,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
174,101,33.36,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
170,80,27.68,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
142,59,29.26,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
145,54,25.68,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
184,64,18.9,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
167,51,18.29,Underweight,60,"Weight gain exercises (e.g., strength training)"
188,93,26.31,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
191,82,22.48,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
193,63,16.91,Underweight,60,"Weight gain exercises (e.g., strength training)"
166,73,26.49,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
158,59,23.63,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
143,66,32.28,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
176,53,17.11,Underweight,60,"Weight gain exercises (e.g., strength training)"
167,93,33.35,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
195,93,24.46,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
166,43,15.6,Underweight,60,"Weight gain exercises (e.g., strength training)"
182,74,22.34,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
152,60,25.97,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
161,62,23.92,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
155,96,39.96,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
178,56,17.67,Underweight,60,"Weight gain exercises (e.g., strength training)"
143,59,28.85,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
165,62,22.77,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
151,64,28.07,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
194,41,10.89,Underweight,60,"Weight gain exercises (e.g., strength training)"
184,112,33.08,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
159,45,17.8,Underweight,60,"Weight gain exercises (e.g., strength training)"
178,59,18.62,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
186,99,28.62,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
169,53,18.56,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
198,71,18.11,Underweight,60,"Weight gain exercises (e.g., strength training)"
196,41,10.67,Underweight,60,"Weight gain exercises (e.g., strength training)"
195,110,28.93,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
154,105,44.27,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
166,52,18.87,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
188,52,14.71,Underweight,60,"Weight gain exercises (e.g., strength training)"
162,49,18.67,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
183,77,22.99,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
197,111,28.6,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
155,88,36.63,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
164,50,18.59,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
158,70,28.04,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
174,110,36.33,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
154,83,35.0,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
148,45,20.54,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
157,97,39.35,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
182,95,28.68,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
196,92,23.95,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
151,107,46.93,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
147,56,25.92,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
184,74,21.86,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
197,80,20.61,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
181,45,13.74,Underweight,60,"Weight gain exercises (e.g., strength training)"
180,63,19.44,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
145,72,34.24,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
186,115,33.24,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
160,97,37.89,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
171,114,38.99,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
154,46,19.4,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
164,85,31.6,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
177,79,25.22,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
182,110,33.21,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
142,77,38.19,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
183,112,33.44,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
171,57,19.49,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
194,81,21.52,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
190,82,22.71,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
171,40,13.68,Underweight,60,"Weight gain exercises (e.g., strength training)"
176,46,14.85,Underweight,60,"Weight gain exercises (e.g., strength training)"
183,94,28.07,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
186,82,23.7,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
153,56,23.92,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
183,74,22.1,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
157,94,38.14,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
155,87,36.21,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
192,104,28.21,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
197,78,20.1,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
143,79,38.63,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
172,56,18.93,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
174,100,33.03,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
172,54,18.25,Underweight,60,"Weight gain exercises (e.g., strength training)"
155,117,48.7,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
145,64,30.44,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
147,68,31.47,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
159,41,16.22,Underweight,60,"Weight gain exercises (e.g., strength training)"
189,110,30.79,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
200,94,23.5,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
195,77,20.25,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
142,83,41.16,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
193,60,16.11,Underweight,60,"Weight gain exercises (e.g., strength training)"
177,101,32.24,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
143,56,27.39,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
167,40,14.34,Underweight,60,"Weight gain exercises (e.g., strength training)"
162,100,38.1,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
176,67,21.63,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
198,101,25.76,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
164,65,24.17,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
168,67,23.74,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
158,76,30.44,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
194,103,27.37,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
171,88,30.09,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
143,94,45.97,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
146,75,35.18,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
149,103,46.39,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
186,104,30.06,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
192,101,27.4,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
143,97,47.44,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
183,47,14.03,Underweight,60,"Weight gain exercises (e.g., strength training)"
172,77,26.03,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
191,45,12.34,Underweight,60,"Weight gain exercises (e.g., strength training)"
178,49,15.47,Underweight,60,"Weight gain exercises (e.g., strength training)"
156,94,38.63,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
150,56,24.89,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
163,80,30.11,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
158,50,20.03,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
161,51,19.68,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
182,72,21.74,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
140,64,32.65,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
166,78,28.31,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
171,42,14.36,Underweight,60,"Weight gain exercises (e.g., strength training)"
181,106,32.36,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
189,62,17.36,Underweight,60,"Weight gain exercises (e.g., strength training)"
163,67,25.22,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
180,90,27.78,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
166,100,36.29,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
165,109,40.04,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
142,103,51.08,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
142,48,23.8,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
176,90,29.05,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
175,72,23.51,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
153,56,23.92,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
149,106,47.75,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
177,53,16.92,Underweight,60,"Weight gain exercises (e.g., strength training)"
154,53,22.35,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
189,98,27.43,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
175,63,20.57,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
198,45,11.48,Underweight,60,"Weight gain exercises (e.g., strength training)"
146,89,41.75,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
185,103,30.09,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
196,99,25.77,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
199,53,13.38,Underweight,60,"Weight gain exercises (e.g., strength training)"
189,66,18.48,Underweight,60,"Weight gain exercises (e.g., strength training)"
